Cross Lochs,Restored 2006,Restored 2015,Erosion
0.00554408,0.00444606,0.01012453,0.00296242
0.00431923,0.00936068,0.00982056,0.00544361
0.00814704,0.00802192,0.00744024,0.00480012
0.00918368,0.00961028,0.00526332,0.00490683
0.00870102,0.01258874,0.00345552,0.00531997
0.00603347,0.01464769,0.00856,0.00361121
0.00478766,0.01399581,0.01106804,0.00241047
0.0037182,0.01237949,0.01276854,0.00277445
0.00908611,0.01289365,0.01468171,0.00191133
0.00773796,0.01445462,0.01308131,0.00314285
0.00574378,0.0121396,0.01254712,0.0017838
0.00484771,0.01018899,0.01336594,0.00216129
0.00550793,0.01131798,0.01070459,0.00209045
0.00762914,0.01342004,0.01189125,0.0036041
0.00688241,0.01540443,0.0115186,0.00493819
0.00670618,0.01416236,0.01367283,0.00530916
0.00480895,0.01458371,0.01227048,0.00353873
0.00342064,0.0148162,0.01254036,0.00515295
0.00239655,0.01505429,0.01175025,0.00554553
0.00297117,0.01441701,0.0122254,0.00316083
0.00721103,0.01470128,0.01344955,0.00409608
0.01026601,0.01490557,0.01374055,0.00505529
0.00916727,0.01416881,0.01326625,0.00446877
0.00765674,0.01542321,0.01493052,0.00368445
0.0062232,0.01494133,0.0120334,0.00476503
0.01215932,0.01502469,0.01161671,0.00216958
0.01355686,0.01362642,0.01244871,0.00309558
0.01386777,0.01430555,0.01107724,0.0031184
0.01533498,0.01436199,0.01091339,0.00290717
0.01606217,0.01504926,0.01174107,0.00317249
0.01651135,0.01302797,0.01257463,0.00663047
0.01628007,0.01267485,0.01145661,0.00579977
0.01545799,0.01328116,0.01163761,0.00604076
0.01681708,0.01485256,0.01203319,0.00637558
0.0182669,0.01546898,0.01213786,0.00786284
0.01779631,0.0140065,0.01227437,0.00812885
0.01748142,0.01452638,0.01356578,0.00867952
0.01889183,0.01458161,0.01103896,0.00663809
0.01950684,0.01406075,0.01035051,0.00569539
0.01878197,0.01153541,0.01365824,0.00637886
0.01984607,0.01159824,0.01511231,0.0074592
0.01914221,0.01273659,0.01554741,0.00759231
0.01855797,0.01509584,0.01344112,0.00761156
0.01837961,0.01466078,0.01225553,0.00600617
0.01983926,0.01313005,0.0135975,0.00695311
0.0179369,0.01245873,0.01430531,0.00678498
0.0159612,0.01337846,0.01137184,0.00668184
0.01696511,0.01379552,0.01311308,0.00662149
0.02131675,0.01438206,0.01421273,0.00641048
0.02107289,0.01321945,0.01762404,0.00647233
0.02160633,0.01246206,0.01160152,0.00569162
0.01794246,0.01336,0.00846352,0.00697795
0.01651518,0.0130626,0.00786377,0.00687447
0.01522081,0.01313105,0.00899605,0.00893483
0.01543602,0.01183522,0.00774257,0.00711078
0.01681956,0.01065242,0.01033868,0.00818103
0.01699266,0.00995032,0.00633498,0.00831868
0.01781981,0.0106039,0.00818871,0.00851028
0.01805215,0.00994369,0.00778372,0.00882676
0.01859922,0.01217705,0.00742251,0.00848404
0.01826545,0.01087175,0.00666344,0.0071689
0.01881586,0.01059799,0.00790414,0.00681249
0.01845615,0.01024476,0.01238094,0.00588951
0.01845278,0.01190238,0.02486652,0.00821354
0.01809815,0.01110943,0.02522016,0.00931982
0.01601851,0.01042883,0.02245259,0.00992031
0.01812135,0.01209538,0.02759419,0.00944874
0.01890104,0.01099028,0.02826224,0.00970448
0.01811042,0.01304857,0.02911909,0.00979283
0.01625961,0.01329438,0.02019668,0.00973091
0.01681568,0.01278567,0.01757225,0.00823169
0.01738235,0.01230074,0.01340531,0.00937314
0.01866378,0.01123377,0.01274414,0.01023481
0.01794752,0.01093814,0.01292908,0.01033042
0.01860355,0.01082104,0.01236641,0.01068995
0.01941504,0.0121137,0.01449326,0.00810515
0.01863931,0.01114106,0.01417959,0.01062683
0.01729762,0.00968468,0.01511902,0.00927328
0.0177512,0.01123939,0.01165363,0.01104429
0.0190164,0.01187138,0.01415169,0.01092027
0.01762633,0.01260436,0.01823181,0.01004723
0.01471177,0.00818579,0.02126966,0.01006956
0.01668766,0.00832624,0.02385139,0.01089887
0.01714835,0.01076122,0.02429251,0.010252
0.01804757,0.00869886,0.02013956,0.00999235
0.01862632,0.00916857,0.02151248,0.01073471
0.02084064,0.01013637,0.02273805,0.01181928
0.02064276,0.00873211,0.02291982,0.00937998
0.02021278,0.00592387,0.02182741,0.00967529
0.02045001,0.01015057,0.02023996,0.00728863
0.02080826,0.01128958,0.02037369,0.00872806
0.02046712,0.01332781,0.01662871,0.00949001
0.02068187,0.01189192,0.0149183,0.01244502
0.01984367,0.01208029,0.01892924,0.01320114
0.02015997,0.01133366,0.01403663,0.01316425
0.02092534,0.01102764,0.01300007,0.01322651
0.02090748,0.01165581,0.01281692,0.01475311
0.02203631,0.01159707,0.00865823,0.01404225
0.02035706,0.0118022,0.00974548,0.01408695
0.02149662,0.00710906,0.00822758,0.01284593
0.01548088,0.00602444,0.00736998,0.01437498
0.01120837,0.00581678,0.00745006,0.0120558
0.01671046,0.00958648,0.00848067,0.0131555
0.01673421,0.00839166,0.01014929,0.01285408
0.01467516,0.01073696,0.00813176,0.01093822
0.01621765,0.01143713,0.00700153,0.01144844
0.01697338,0.01278353,0.00979296,0.01130991
0.01830804,0.01400899,0.00854961,0.01193523
0.01838133,0.01557536,0.00919333,0.01091693
0.01250119,0.01207606,0.00902288,0.01049311
0.01322673,0.01260521,0.00810289,0.01030057
0.01277594,0.01153971,0.00976641,0.00862453
0.01212868,0.00936319,0.00798048,0.00878495
0.00932451,0.01044083,0.01026852,0.00828996
0.00832284,0.01121033,0.01085224,0.00545817
0.00734685,0.01240993,0.01084716,0.00558607
0.00794668,0.01221234,0.00799208,0.00818482
0.00765361,0.01177163,0.00588974,0.00983671
0.00785112,0.01243974,0.00982725,0.01129009
0.00756831,0.01018654,0.01147415,0.0126544
0.00856245,0.01076428,0.01760581,0.01404095
0.00684132,0.00965232,0.02495603,0.01372802
0.00387296,0.00982731,0.01878545,0.01280301
0.00448735,0.0107433,0.01986974,0.01180502
0.00401195,0.00995548,0.02270931,0.01161677
0.00565145,0.00946399,0.02206241,0.01273644
0.00634943,0.01057997,0.02093673,0.0112175
0.00614651,0.00894839,0.02312206,0.00935432
0.00521637,0.00918991,0.02844316,0.0097952
0.00741664,0.00853609,0.02634022,0.00905641
0.00923146,0.00925232,0.02782117,0.00879393
0.00941145,0.01038214,0.02941135,0.00753105
0.01263094,0.00973889,0.0234732,0.00929558
0.01247492,0.00786646,0.02827881,0.00952436
0.01382803,0.00827667,0.02492703,0.00990082
0.01255693,0.00842725,0.01337191,0.010449
0.01312042,0.00968779,-0.0061202,0.00950901
0.0105861,0.00841828,0.00930369,0.00872923
0.01170086,0.00629625,0.00476413,0.00772297
0.01311201,0.00723089,0.01402248,0.00728739
0.01382878,0.00717048,0.01342766,0.01020394
0.01677588,0.00655807,0.01319371,0.01111459
0.01681889,0.00738969,0.01438034,0.0121421
0.01524156,0.00543079,0.01172335,0.00980631
0.01607287,0.00675441,0.01202317,0.00752095
0.01557276,0.00651647,0.01152981,0.00878365
0.01541188,0.00873664,0.01709205,0.00812952
0.01163184,0.00707698,0.01648991,0.0088185
0.0098733,0.00699149,0.0176699,0.00796722
0.00900818,0.00799142,0.01994953,0.01126921
0.00595818,0.00756674,0.01758874,0.01271959
0.00877399,0.00727814,0.01297104,0.01137802
0.01124576,0.00768086,0.01193428,0.01206704
0.01209279,0.00667903,0.00881143,0.00865304
0.0120121,0.00729819,0.01022164,0.00791031
0.01362062,0.00601307,0.010982,0.01176599
0.0120736,0.00741409,0.01189642,0.0104297
0.00878955,0.00742725,0.01198532,0.00979561
0.00278922,0.00699644,0.01005293,0.0106737
0.00207972,0.00662518,0.01027639,0.01080262
0.00301572,0.00767274,0.00960249,0.01187259
0.00262288,0.00743982,0.0092144,0.0099168
0.00305381,0.00869498,0.0093931,0.00930864
0.00185546,0.00868096,0.00936786,0.00885836
0.00214287,0.00935287,0.00822546,0.00923643
0.00191412,0.01129786,0.00791902,0.01091943
0.0015116,0.01195018,0.00841273,0.01023284
0.0023214,0.01370154,0.00724906,0.00903436
0.00064493,0.00967995,0.00720609,0.00855512
0.00158067,0.00896591,0.00630178,0.00729869
0.00250458,0.00605904,0.00712635,0.00760907
0.00155687,-0.00021248,0.00630891,0.00729644
0.00205237,0.00021462,0.00645443,0.00860357
0.00157045,-3.79E-05,0.00698845,0.00976796
0.00172076,-0.0001839,0.00730819,0.00928567
0.00230036,0.00258256,0.00685428,0.00847432
0.00119014,0.00316788,0.00516135,0.01028439
0.00234336,0.00447241,0.00495439,0.00852858
0.00124415,0.0040393,0.00623789,0.00990766
0.002196,0.0030175,0.00661952,0.0097345
0.00179121,0.00210418,0.00518654,0.00903706
0.00156377,0.00146416,0.00472055,0.00571086
0.00222053,0.00020419,0.00571513,0.00751877
0.00222046,0.00035253,0.00519011,0.0083003
0.00137666,0.00062408,0.00767817,0.00879451
0.00207838,-0.0009098,0.01978186,0.01105833
0.00129714,-0.00102318,0.02099125,0.00987909
0.00239277,-3.64E-05,0.01897044,0.01078755
0.00189741,0.00229543,0.01498771,0.00931503
0.00189234,0.00477679,0.01553863,0.01050416
0.0015535,0.0057717,0.01232179,0.00727029
0.00226746,0.00628957,0.00812776,0.00782504
0.00228921,0.00787671,0.01055725,0.00928491
0.00169604,0.00706163,0.02688183,0.00832241
0.00167725,0.00456546,0.02262779,0.00670262
0.00318983,0.00417533,0.01451875,0.00675556
0.00424677,0.00519051,0.0158913,0.00320397
0.01127435,0.00441694,0.02600744,0.00298055
0.01408078,0.00287813,0.02255486,0.00324866
0.01657078,0.00352149,0.01696973,0.00425836
0.01440926,0.00245143,0.01094909,0.00455005
0.01625831,0.00108726,0.00889444,0.00424865
0.01574402,0.00073646,0.00852102,0.00334928
0.01031319,0.00616115,0.00631151,0.00230205
0.01192694,0.00666062,0.00643446,0.00241254
0.01299101,0.00811054,0.00780033,0.00090754
0.01400633,0.01079521,0.01190829,0.00282566
0.01411369,0.01258589,0.01264004,0.00289378
0.01099318,0.01276573,0.0148658,0.00310763
0.010596,0.01198222,0.01413898,0.00404031
0.01303786,0.01107363,0.01279557,0.00452557
0.01323725,0.01035344,0.01209167,0.00530916
0.01095198,0.00955981,0.01192753,0.00418487
0.00971399,0.01260475,0.0120941,0.00355518
0.01042581,0.01376072,0.00964333,0.00370523
0.00950307,0.0137509,0.01285402,0.00316083
0.00927241,0.015246,0.01167277,0.00366097
0.00898089,0.01382088,0.01183903,0.00374947
0.00808948,0.01340734,0.00915994,0.00300114
0.00613133,0.01489825,0.01023024,0.00355762
0.00545793,0.01353232,0.01218106,0.00443317
0.00424159,0.01405519,0.01350205,0.0043714
0.00597599,0.0152372,0.01326302,0.00308625
0.00647671,0.01360695,0.01467226,0.00401014
0.01026601,0.01566496,0.01284856,0.005036
0.01026601,0.01426679,0.01210642,0.00665256
0.01002836,0.01514667,0.01323628,0.00599788
0.00888661,0.01502469,0.01143487,0.00691799
0.01376418,0.01380955,0.01216422,0.00544424
0.01330506,0.01263943,0.01135118,0.00534406
0.01393484,0.01305848,0.01252386,0.00664855
0.01391413,0.01511998,0.01220892,0.0079653
0.016369,0.01192249,0.01204439,0.00789585
0.0186837,0.01266738,0.01289466,0.00786219
0.01843341,0.0130711,0.01349378,0.00689752
0.01704606,0.01365712,0.01299033,0.0065986
0.01624139,0.01385239,0.01264474,0.00659687
0.0190863,0.01369593,0.01009595,0.00636077
0.0190607,0.01220626,0.01057823,0.00826199
0.02015063,0.01283225,0.01163249,0.00718863
0.02009016,0.0119025,0.0135925,0.00784585
0.01940241,0.0104049,0.01322553,0.00682508
0.01818568,0.01135734,0.01384024,0.00675596
0.0197231,0.01325743,0.01508041,0.00627635
0.01933667,0.01248837,0.01597023,0.0062035
0.0190829,0.01366544,0.01707812,0.00581592
0.01960842,0.01327477,0.01239237,0.00582038
0.01981807,0.0134343,0.01382539,0.0063523
0.01783144,0.01357002,0.01456286,0.0067213
0.01871465,0.01375321,0.01659764,0.00789688
0.01796883,0.0133267,0.01730956,0.00770105
0.02019307,0.01260071,0.0144318,0.00787519
0.01860216,0.01187317,0.01170301,0.00818001
0.01987828,0.01262153,0.00703533,0.00839616
0.01715419,0.01217772,0.00826339,0.00856778
0.01625185,0.01193433,0.01032486,0.01000922
0.01529908,0.01249496,0.01115974,0.00715813
0.01523781,0.01137578,0.01131175,0.00721414
0.01698877,0.00848071,0.00673427,0.00563699
0.01749866,0.0107925,0.00473332,0.00888718
0.01728494,0.0092233,0.00571918,0.0098432
0.01899448,0.00929999,0.00748908,0.00996563
0.01803268,0.01208909,0.01893716,0.01020723
0.01813263,0.00853786,0.02667315,0.0100207
0.01794519,0.0092939,0.02968116,0.00978426
0.01653658,0.00837636,0.03153355,0.00880542
0.01863988,0.00960002,0.03091888,0.00885963
0.01820318,0.01078058,0.03080226,0.00998455
0.01607502,0.01171103,0.03126298,0.00955171
0.01709391,0.01295368,0.02094154,0.0093094
0.01726358,0.01356263,0.0186906,0.01078286
0.01898909,0.01336794,0.01709944,0.00851722
0.01808235,0.01349087,0.01755719,0.01171087
0.01734591,0.01207487,0.01474369,0.01023669
0.01657803,0.0102569,0.01425517,0.01086367
0.01748995,0.01036862,0.01722175,0.01129872
0.01675956,0.00985715,0.01643246,0.01098273
0.01880436,0.00911078,0.01583757,0.01061671
0.01836656,0.01004627,0.01834053,0.01181784
0.01754467,0.01034158,0.0190171,0.01063892
0.01634366,0.0120241,0.01833303,0.0106588
0.01604733,0.01094566,0.02200648,0.00929919
0.01749663,0.01207431,0.02297847,0.01023766
0.01814465,0.00996802,0.0207525,0.00921185
0.01463467,0.00579076,0.02272512,0.00955989
0.01559485,0.00694648,0.02219121,0.00957386
0.01596823,0.01040466,0.02086778,0.01110267
0.01785892,0.00899005,0.02212167,0.01079926
0.01815347,0.00979333,0.02176838,0.01398673
0.01922986,0.00941284,0.02021316,0.01446992
0.02110206,0.00966549,0.02185966,0.01515673
0.02023835,0.01134911,0.01859036,0.01424167
0.02035125,0.01029027,0.01752502,0.01327617
0.02172399,0.01152822,0.01892924,0.0140807
0.020466,0.01173765,0.012971,0.01468169
0.02006757,0.01180828,0.01580389,0.01413337
0.0209718,0.01245425,0.01516967,0.01247583
0.02007464,0.01177814,0.01106814,0.01328695
0.02157369,0.01334421,0.01148009,0.01214882
0.02127995,0.00948124,0.00825588,0.0112257
0.01915832,0.01061957,0.00739218,0.01242152
0.02121194,0.00830262,0.00746945,0.0113579
0.0204469,0.01111077,0.00767563,0.01194158
0.02174948,0.00644291,0.00892178,0.01277122
0.01700588,0.00539021,0.0077153,0.01264865
0.01520132,0.00943504,0.00817084,0.01216086
0.0198267,0.012144,0.00737611,0.01239242
0.01696916,0.01342949,0.00854438,0.01091097
0.01712671,0.01234372,0.00794231,0.00741088
0.01719901,0.01452686,0.00924285,0.0057259
0.01830804,0.01512943,0.00686584,0.00525155
0.0193955,0.0119408,0.00924765,0.00686673
0.01324958,0.01171341,0.00937501,0.00948684
0.01351266,0.01204599,0.01142906,0.01023894
0.01249121,0.0107857,0.0111006,0.0129375
0.01272669,0.01121137,0.0108495,0.01103855
0.01119342,0.01155061,0.00949446,0.01240929
0.00912013,0.01249067,0.00809915,0.0133497
0.00808541,0.01376092,0.01245385,0.01143699
0.00766928,0.01292062,0.01251356,0.01236305
0.00619373,0.01290953,0.02041364,0.01154009
0.00652896,0.01018406,0.02391401,0.01251501
0.00761198,0.01076428,0.02065529,0.01052847
0.00627181,0.01057655,0.02412057,0.01042511
0.00700282,0.01070662,0.01861213,0.01041504
0.00811868,0.01087934,0.0197601,0.00901175
0.00874859,0.00997098,0.02203415,0.00927602
0.00639788,0.00983778,0.02737577,0.00742079
0.00796802,0.01042007,0.02203187,0.00935862
0.00830206,0.00877425,0.01982278,0.01056866
0.00788702,0.00983659,0.02108358,0.00978282
0.00777534,0.00914364,0.02361098,0.01179013
0.00845253,0.00887629,0.02681401,0.0099056
0.0099228,0.01023503,0.02407776,0.00857577
0.01003163,0.00941382,0.02953765,0.00702769
0.01117047,0.00912766,0.01282479,0.0080675
0.01247972,0.00931744,-0.00498383,0.01092597
0.01310886,0.00944333,0.00828223,0.01127957
0.01180587,0.00833109,0.00372481,0.01352274
0.01174206,0.00530041,0.01076248,0.01015269
0.01146691,0.00619341,0.01491486,0.00795666
0.01206621,0.00381565,0.01375493,0.0083544
0.01397591,0.00527544,0.01355542,0.00881405
0.01530925,0.00473849,0.01318875,0.0089058
0.01508781,0.00576593,0.01466557,0.0081218
