Cross Lochs,Restored 2006,Restored 2015,Erosion
0.74497807,0.76955879,0.57092136,0.73543483
0.76251829,0.65414554,0.56300855,0.70278066
0.66922534,0.66013545,0.64537364,0.69972765
0.62156552,0.61700565,0.73102444,0.69596732
0.66901815,0.56632,0.68747538,0.7121774
0.73411596,0.54347372,0.58671325,0.73563659
0.74569565,0.55168283,0.56879431,0.76907289
0.79624939,0.57764155,0.54949421,0.77765137
0.6809603,0.5560025,0.52824599,0.76968414
0.70256454,0.56448907,0.54785204,0.72431254
0.73823625,0.60437799,0.54225761,0.73370713
0.74348038,0.67719686,0.58142501,0.72338295
0.72553718,0.55937326,0.59809768,0.71138936
0.67319012,0.53002185,0.61208791,0.70007104
0.68728334,0.50076818,0.61557817,0.70490098
0.68947637,0.52078182,0.61504388,0.7142995
0.73762745,0.51255232,0.62330896,0.73104507
0.782565,0.49224353,0.62800992,0.72873998
0.83311105,0.50645125,0.6282438,0.71581519
0.8253181,0.50443357,0.60379374,0.77315891
0.72338212,0.49822789,0.59633833,0.74199295
0.64723861,0.5160566,0.60120863,0.69110262
0.68182147,0.49347907,0.58621776,0.69916183
0.71808118,0.49180621,0.59390652,0.72849482
0.73853952,0.49566305,0.61879349,0.70481879
0.60998672,0.49691638,0.61487079,0.7586273
0.58721584,0.49995309,0.60104406,0.76468778
0.59292787,0.50945753,0.61704975,0.76834345
0.5668844,0.50977099,0.60457915,0.73767579
0.54858547,0.49600327,0.59391886,0.74200565
0.56574738,0.50729918,0.60646486,0.6584698
0.55778152,0.48555008,0.61896425,0.66490579
0.56011009,0.48285973,0.61203998,0.67251784
0.53426087,0.46837169,0.5971173,0.65033191
0.52941358,0.45720819,0.60668206,0.63521278
0.54145265,0.4514069,0.6024614,0.63128984
0.52642775,0.45558128,0.61254144,0.62953472
0.49529243,0.45785052,0.66147602,0.63507265
0.50681061,0.46919021,0.68386668,0.67737776
0.50484067,0.47865063,0.58884865,0.67846
0.49748051,0.49396163,0.58383381,0.65799022
0.51002538,0.47833398,0.55924314,0.69900858
0.49169621,0.47504553,0.59455168,0.66216719
0.50052691,0.48630822,0.6186437,0.68477851
0.4951275,0.47420406,0.60405892,0.67431575
0.53366923,0.4554522,0.60101056,0.64931923
0.55106831,0.455605,0.62334734,0.65868998
0.5322262,0.45939645,0.60535115,0.65689033
0.48220891,0.46358982,0.58975363,0.67714262
0.48823133,0.46697664,0.57189214,0.70282406
0.47758529,0.47990727,0.67863858,0.68062055
0.50196439,0.4815428,0.71391153,0.68411267
0.52691913,0.50992763,0.73323148,0.69774234
0.5116666,0.4869653,0.71880543,0.66239661
0.52422178,0.48749027,0.72175992,0.68162197
0.55248833,0.47830126,0.70481741,0.66080129
0.53816289,0.49966589,0.76154459,0.65853214
0.51123339,0.48247215,0.71713758,0.66028714
0.5151276,0.48269817,0.71596062,0.66144872
0.52650046,0.50104511,0.7240265,0.67108095
0.51217258,0.51939529,0.77819699,0.68615907
0.49851322,0.52068126,0.73964834,0.7203148
0.51262623,0.52451766,0.6417073,0.7297675
0.52517772,0.52762109,0.35571215,0.68956137
0.52572322,0.51993227,0.40987009,0.63646764
0.52777821,0.49223042,0.4398987,0.63359475
0.51828653,0.49267256,0.32317224,0.63059258
0.4956212,0.51243258,0.32307777,0.63858891
0.4911716,0.51456171,0.31386626,0.6261673
0.51820987,0.5107494,0.50632012,0.63771594
0.51663464,0.49583232,0.56691581,0.64079046
0.50044107,0.48141494,0.66797173,0.62522745
0.51151246,0.49642685,0.62470919,0.61947244
0.51702172,0.50499606,0.62227386,0.61592662
0.50142908,0.515733,0.58950305,0.63203824
0.50704479,0.51104319,0.61989903,0.64673865
0.51513642,0.49209163,0.64037979,0.65583861
0.53251141,0.51615828,0.64072454,0.63197666
0.51215041,0.50628752,0.64929032,0.60401762
0.47257972,0.50221348,0.63518542,0.61030602
0.51013637,0.49543437,0.5528447,0.62817007
0.54560763,0.51521951,0.48330852,0.62826878
0.52013415,0.50029433,0.47766694,0.62512106
0.51961917,0.53206646,0.43694723,0.63719034
0.51533806,0.52635843,0.47040275,0.64722264
0.50394273,0.55399567,0.45943773,0.61091971
0.47172526,0.5280953,0.43157637,0.6334579
0.46992689,0.48559961,0.4505004,0.64364791
0.47542155,0.46462101,0.47724041,0.64712024
0.48816884,0.46554965,0.43942547,0.64560413
0.49073866,0.48862025,0.51129198,0.63832957
0.495204,0.53913754,0.57905126,0.61047816
0.48191372,0.52122188,0.58191079,0.5748077
0.49024996,0.50610375,0.58107483,0.56512469
0.48099738,0.49064809,0.60829079,0.56718671
0.48412654,0.5135076,0.59194392,0.57955813
0.4770467,0.54471362,0.58643055,0.55869144
0.48248643,0.5176174,0.65049261,0.57262516
0.47793424,0.54032934,0.64918536,0.55855453
0.48143297,0.54564935,0.66872722,0.56553119
0.5703615,0.47591984,0.69774652,0.54493201
0.64911497,0.4677273,0.68627554,0.56653494
0.54122889,0.5608353,0.64984536,0.57721823
0.53370798,0.54749697,0.64295429,0.57898968
0.56091368,0.58244616,0.68442863,0.60546201
0.52778125,0.5672316,0.67636967,0.59061009
0.51086372,0.4952032,0.65259445,0.58305693
0.48421606,0.50700212,0.64616627,0.56905395
0.49181688,0.49794346,0.67037123,0.59386748
0.55182171,0.53981394,0.65217274,0.59903789
0.56276876,0.55112386,0.6521464,0.58599085
0.5568338,0.55186564,0.64136136,0.60364497
0.57176024,0.5295887,0.641554,0.64046913
0.62093377,0.56991631,0.62475878,0.63628626
0.67385715,0.55964738,0.57732838,0.72392869
0.68767923,0.54386389,0.6100747,0.71615285
0.67465883,0.54638147,0.66980404,0.65508693
0.67728198,0.51810038,0.70299661,0.61025423
0.66808695,0.52308315,0.6700263,0.57832783
0.66293937,0.53378934,0.62731582,0.56575853
0.66536826,0.54628116,0.53479099,0.56258887
0.72369421,0.55944806,0.29032537,0.55620229
0.76311409,0.55422193,0.44354928,0.56346792
0.77261055,0.54624027,0.34765574,0.57821745
0.74525654,0.55726773,0.30362803,0.58006269
0.702806,0.56039369,0.48340178,0.57723027
0.68046826,0.5708161,0.51379532,0.58346343
0.69256681,0.58863938,0.41314986,0.59514964
0.69937307,0.58944601,0.27924508,0.58956945
0.68219054,0.57350397,0.32214969,0.5882085
0.65373266,0.58489382,0.27725115,0.61792743
0.62406284,0.59879786,0.23534989,0.65998411
0.57843322,0.58042139,0.397239,0.61620736
0.59107739,0.56433809,0.23754953,0.60341942
0.58207738,0.57454544,0.34918824,0.58322233
0.5793978,0.57874221,0.2199377,0.57376099
0.60527748,0.6086328,0.24880636,0.59308541
0.61504775,0.63161159,0.58595002,0.62244749
0.60215753,0.6243186,0.80254376,0.71419507
0.5865078,0.63525087,0.6213339,0.66703856
0.56809545,0.68060297,0.62464243,0.58447391
0.53480506,0.65045655,0.65404052,0.58450669
0.55974948,0.5924257,0.6915741,0.57844037
0.57001221,0.59165335,0.74133515,0.61145347
0.56437534,0.59020346,0.68402451,0.66142642
0.55302209,0.58648038,0.59336436,0.64359224
