Cross Lochs,Restored 2006,Restored 2015,Erosion
1.36929166,1.41666913,1.18561149,1.32751691
1.39366579,1.26619291,1.18245304,1.3065989
1.28128958,1.2532357,1.16057003,1.30345941
1.26214719,1.2244885,1.16374385,1.28800917
1.29323363,1.20104527,1.16572428,1.30484509
1.33957624,1.18761194,1.17468703,1.31224954
1.38173771,1.19550312,1.17601371,1.36219728
1.43495667,1.21190202,1.17446089,1.38113987
1.28531885,1.20122588,1.16644585,1.35567212
1.30087292,1.21123862,1.18263721,1.31441545
1.34433341,1.24911582,1.18795526,1.31126297
1.33425331,1.30688453,1.19335556,1.29970789
1.31306815,1.21681678,1.21078587,1.29173481
1.25483751,1.19249368,1.21723008,1.27934039
1.25781655,1.18142152,1.2074945,1.28731179
1.24953854,1.19181609,1.21428955,1.29936039
1.29423106,1.18607295,1.21621299,1.31439018
1.360286,1.17755044,1.21140683,1.31801224
1.43067884,1.18327379,1.22636616,1.30963981
1.43408287,1.18009615,1.20452797,1.36559522
1.29730308,1.17890859,1.19543135,1.33130062
1.23077941,1.19098973,1.19933462,1.28689897
1.25358033,1.18907881,1.19099188,1.30213213
1.29700327,1.17619312,1.20602393,1.3093245
1.31831944,1.18049622,1.21635127,1.29351485
1.21878946,1.18307555,1.20270848,1.33596814
1.21219945,1.17436159,1.20208192,1.34222579
1.22166955,1.17917609,1.21039236,1.35236382
1.20548797,1.17989981,1.20984805,1.33031595
1.1890496,1.18049848,1.2059139,1.34358084
1.20705855,1.18236721,1.20293856,1.27236569
1.19929087,1.17189503,1.22832644,1.28042877
1.20380151,1.17136669,1.22442746,1.26462078
1.18584466,1.16570318,1.20811296,1.2439903
1.17734087,1.16105568,1.21685147,1.23108733
1.18599606,1.15804064,1.22106504,1.22700083
1.17889905,1.15634155,1.24008656,1.23489797
1.16945839,1.16364479,1.28613722,1.23290312
1.1777941,1.1638304,1.31773841,1.26621687
1.17696559,1.17017627,1.25364649,1.272609
1.16646755,1.18052971,1.23268998,1.2804625
1.17903662,1.17022073,1.21537948,1.31051636
1.1652894,1.17079175,1.20718753,1.26757705
1.16818583,1.17357051,1.22949302,1.27809727
1.16921008,1.16219306,1.21229458,1.28039169
1.18785131,1.16445053,1.21297979,1.2567507
1.19540453,1.16072512,1.22282553,1.2577666
1.18113327,1.15772557,1.2128799,1.25974607
1.15929902,1.15566969,1.19871843,1.26883423
1.15878808,1.16041696,1.19193518,1.29289234
1.15810204,1.16406941,1.28105283,1.28088272
1.17461944,1.1599741,1.32243812,1.28066254
1.18021131,1.17046821,1.35650647,1.29401004
1.16536081,1.16922963,1.34959018,1.26051891
1.17650819,1.1598717,1.34152532,1.272614
1.19847226,1.15544581,1.31819987,1.2631712
1.19563234,1.15361929,1.37634718,1.24771869
1.17740297,1.15909708,1.34560621,1.25322855
1.17439723,1.15587437,1.31527436,1.25215495
1.1824944,1.16522324,1.32971871,1.25879931
1.1704433,1.18707883,1.3848927,1.26431215
1.16528714,1.16647303,1.36802793,1.29622757
1.17525482,1.17707968,1.29316676,1.31070638
1.18821466,1.1782645,1.14112031,1.27401292
1.18129909,1.17306495,1.16170835,1.22429168
1.17866325,1.16629457,1.17962611,1.23167968
1.17152405,1.16411805,1.12110114,1.23049104
1.16769278,1.1660949,1.11660755,1.23792672
1.15848529,1.18131649,1.11660385,1.22731555
1.17236412,1.17329061,1.22307956,1.24151683
1.18450916,1.16320646,1.24568856,1.24089146
1.16860151,1.15943491,1.30861211,1.23009837
1.17517626,1.16704118,1.26063311,1.23200977
1.17386758,1.1730547,1.26013553,1.23202908
1.16779613,1.17152309,1.24346745,1.23116529
1.16608369,1.16911674,1.28825319,1.23473275
1.17791581,1.17008734,1.30497086,1.24833333
1.1834743,1.17795765,1.29872251,1.23277569
1.1659584,1.17172205,1.31006014,1.20985603
1.14194894,1.16643357,1.29832065,1.22035336
1.15525115,1.16363692,1.24406791,1.23264778
1.18019772,1.16796231,1.18992758,1.23444235
1.16329491,1.15168738,1.17573118,1.2282908
1.17222393,1.17395449,1.16415143,1.22878814
1.16880274,1.18457901,1.19161797,1.24507797
1.16315794,1.18578088,1.1857096,1.2086904
1.15213108,1.17607129,1.15966594,1.22661316
1.15683746,1.16131759,1.17099476,1.23354197
1.1509198,1.14263141,1.18804193,1.23477411
1.1564045,1.15508616,1.17649949,1.22953475
1.15688586,1.17107153,1.20141447,1.22861481
1.15824115,1.19704974,1.23630929,1.21088505
1.15758383,1.17954922,1.23147523,1.19475698
1.15486956,1.17847896,1.22860396,1.19214606
1.1563741,1.15580571,1.24284649,1.18867469
1.15662968,1.16530228,1.2276032,1.2070576
1.15012753,1.19008911,1.23061347,1.19690323
1.1619519,1.16782391,1.264027,1.2021327
1.15111935,1.1731379,1.26269591,1.18958032
1.15158427,1.1598686,1.26675439,1.19398975
1.19883561,1.11616635,1.28933215,1.18534768
1.22752595,1.10607004,1.27477634,1.19605374
1.17542803,1.18105996,1.23138106,1.20459151
1.17484498,1.18020952,1.22185469,1.20596611
1.18959439,1.20546973,1.2478863,1.22169256
1.18067324,1.19563389,1.24229133,1.21584237
1.16335559,1.17274463,1.23357463,1.20240247
1.15872669,1.16939557,1.22820497,1.18588662
1.1536634,1.16818941,1.24150121,1.20283902
1.173967,1.17956817,1.21907318,1.21146035
1.18584144,1.18443751,1.22696018,1.20013595
1.18850124,1.17303205,1.22352481,1.21459925
1.20048535,1.15883636,1.22029841,1.24485445
1.22082448,1.19511306,1.21254981,1.2377584
1.2588259,1.19808745,1.20179904,1.32967043
1.2735312,1.18540514,1.2209655,1.31891215
1.26322591,1.18299174,1.23855853,1.26635158
1.27404451,1.17236972,1.23925138,1.22803366
1.26373601,1.16812468,1.22945321,1.19636583
1.25955343,1.16608131,1.21139693,1.19157755
1.26431561,1.17875934,1.18472445,1.18748581
1.30015314,1.18570411,1.11244488,1.19408965
1.35228205,1.18320835,1.17043257,1.19616091
1.36657476,1.18443537,1.13009691,1.20380533
1.3277092,1.18758082,1.10916102,1.20557141
1.2989819,1.19240749,1.18069887,1.19542956
1.26525104,1.20354426,1.19800556,1.19926226
1.26943588,1.21545088,1.15231574,1.20889318
1.30309272,1.20611012,1.09673762,1.20586777
1.28765738,1.19483483,1.1165607,1.20595503
1.25912046,1.20570719,1.09872544,1.23180509
1.24269736,1.21404481,1.07964742,1.26064944
1.21618199,1.19985044,1.14458382,1.22871435
1.21877193,1.19586885,1.07907796,1.21797562
1.21374416,1.20369387,1.13209462,1.20254338
1.21242559,1.20448279,1.07050419,1.20275521
1.20612991,1.21488774,1.09680843,1.21251285
1.23166847,1.231264,1.27119493,1.23987937
1.2261287,1.2318871,1.42910826,1.31518781
1.2039721,1.22968578,1.23901105,1.26150429
1.2013725,1.25461709,1.23463309,1.20213437
1.19422507,1.24528027,1.27709877,1.20627165
1.1972115,1.21993291,1.29016566,1.21139514
1.20532119,1.21444619,1.28874099,1.24015558
1.1946578,1.20331442,1.28773785,1.27735686
1.18871486,1.2052989,1.24726808,1.25910914
1.20225871,1.20046949,1.25512552,1.24371397
1.2196728,1.20622849,1.23086751,1.22841513
1.21884823,1.19469738,1.20287645,1.2522397
1.27055299,1.20348024,1.2435292,1.1966846
1.30742061,1.19439101,1.26077676,1.19779718
1.25470448,1.2125237,1.25467765,1.20032716
1.21877992,1.19608891,1.25998044,1.19496393
1.23248065,1.19844258,1.27036202,1.24423492
1.22097886,1.19048917,1.24245429,1.27588189
1.19908285,1.20519733,1.32221401,1.20736623
1.19766724,1.19405031,1.29456973,1.22735572
1.23523295,1.20939863,1.281461,1.20962775
1.34615505,1.20643389,1.26498437,1.19868112
1.26894116,1.21673501,1.27257156,1.19164765
0.88359535,1.20793939,1.27381885,1.19702148
0.88372326,1.23264754,1.29831493,1.21124458
0.90858942,1.18825924,1.30548012,1.22994637
0.88463533,1.25228894,1.29223669,1.22687709
0.95168626,1.23801601,1.28036761,1.215554
1.02903724,1.22247732,1.27552712,1.22091675
1.09850395,1.20963275,1.2730794,1.2105943
1.08873475,1.21663475,1.28616154,1.21846497
1.09231186,1.25045133,1.27962852,1.22973418
1.13681352,1.25927174,1.26986766,1.25443292
1.12493277,1.30923724,1.28638637,1.23941731
1.12827253,1.35014045,1.33319187,1.24516022
1.135337,1.34197843,1.3093406,1.24519622
1.14706254,1.42656744,1.30397654,1.21891356
1.15821981,1.39075804,1.28584027,1.21291888
1.15506208,1.39865386,1.27884996,1.2175405
1.18618536,1.36430693,1.27244449,1.22042692
1.15191996,1.34049523,1.25293279,1.24919844
1.16975939,1.34365773,1.2535423,1.22315431
1.15838099,1.47154844,1.25787771,1.21288586
1.11270154,1.51022589,1.28317833,1.22939503
1.05852783,1.46862924,1.29943669,1.27952528
1.02233887,1.46054935,1.29876757,1.26202214
0.98217696,1.43166697,1.28379726,1.23957491
0.99021941,1.46210623,1.2934922,1.24151814
0.9828319,1.4794476,1.18325686,1.21290481
0.94933736,1.44694638,1.18637955,1.21643448
0.95077157,1.34468508,1.20784366,1.21689415
0.94085586,1.26816416,1.24161339,1.20238101
0.92729604,1.25165367,1.22687399,1.20758021
0.92864805,1.25915742,1.24438655,1.23060274
0.95697862,1.25508952,1.29306602,1.24183631
0.96683407,1.24068975,1.26182628,1.22451448
1.01605761,1.26842928,1.14726007,1.21694779
1.19981027,1.36590433,1.18035531,1.25533104
1.41426337,1.34385133,1.23588777,1.26572442
1.26086557,1.36370945,1.20054972,1.35729218
1.22409058,1.35154152,1.11298144,1.3380903
1.18844378,1.38812447,1.1563369,1.35136914
1.17836452,1.35906315,1.22715354,1.31543863
1.19411266,1.41244662,1.17720222,1.32820606
1.17925072,1.5016433,1.16690946,1.32196879
1.18701386,1.5537411,1.16523051,1.30887651
1.24282861,1.373294,1.1779325,1.33977616
