Cross Lochs,Restored 2006,Restored 2015,Erosion
0.66793662,0.58655876,0.74073482,0.6478613
0.65058064,0.71611196,0.79951841,0.67970473
0.76722556,0.73240745,0.38588747,0.68093848
0.82742745,0.79781067,0.21889943,0.71004301
0.78558016,0.90845692,0.33103701,0.72618049
0.67507112,0.94888461,0.58912545,0.6786685
0.65367049,0.98974609,0.74541366,0.62370133
0.60435194,0.96518958,0.86258805,0.61605459
0.77861822,1.00238216,0.90610099,0.6327399
0.73950201,0.98232752,0.90902072,0.73616272
0.67248768,0.88227677,0.93407518,0.70094281
0.66107899,0.7873714,0.84897178,0.70085156
0.6967752,1.00838161,0.82552344,0.72346586
0.73009092,1.07603753,0.80600637,0.7464872
0.69372338,1.11124814,0.77188486,0.74643797
0.68676317,1.04899001,0.80100489,0.74118465
0.61206037,1.06845987,0.74761361,0.7186597
0.58947986,1.09286642,0.74057043,0.72958583
0.53917587,1.08821833,0.73358124,0.76969522
0.52106625,1.11713946,0.76385283,0.65960258
0.64456511,1.11667752,0.75628585,0.71183282
0.77875012,1.09461188,0.7550351,0.77537543
0.71233273,1.16076708,0.76767218,0.74939042
0.658723,1.17997754,0.76132351,0.69068313
0.63258243,1.17248368,0.72693598,0.74729192
0.85750425,1.16793036,0.71360266,0.6601932
0.93976837,1.12984896,0.74525261,0.66402102
0.95580184,1.08721554,0.71891755,0.66380697
1.0027951,1.12500858,0.75823218,0.71224988
1.02697623,1.15809965,0.78037846,0.66909677
0.99335468,1.08894646,0.74370241,0.79140162
1.04220521,1.08759177,0.74918908,0.82960093
1.01096034,1.14470816,0.77416629,0.82893693
1.05580461,1.2014147,0.79134262,0.85000193
1.04576468,1.21840549,0.77425528,0.88178581
0.99909663,1.21720278,0.78594226,0.88270831
1.04757762,1.2213484,0.78787464,0.889947
1.1204381,1.23226738,0.73032886,0.87559223
1.10792828,1.17860186,0.71720397,0.80773067
1.10237014,1.12293816,0.83494759,0.76341832
1.11586022,1.1158011,0.86772186,0.77756262
1.13891912,1.15207922,0.89794606,0.70460981
1.09326708,1.20651984,0.81656301,0.71089411
1.07540262,1.16214681,0.77468187,0.69921297
1.09128773,1.19901955,0.78884208,0.76506251
1.08332622,1.14999294,0.79692358,0.81308544
1.01170754,1.19184804,0.75489223,0.79105246
1.03889215,1.15371537,0.77374309,0.80044562
1.12197578,1.14222229,0.80134553,0.76117909
1.13305759,1.11124921,0.84398752,0.74936199
