Cross Lochs,Restored 2006,Restored 2015,Erosion
-0.06431472,-0.03139004,-0.06907012,-0.06506124
-0.05752289,-0.08463717,-0.09780965,-0.07796122
-0.09851221,-0.09066744,0.17301203,-0.07832173
-0.10789255,-0.11089201,0.38107198,-0.0864802
-0.09993035,-0.14345181,0.24805956,-0.08769293
-0.07103861,-0.14959294,-0.00430189,-0.07139877
-0.05650631,-0.15702283,-0.06920155,-0.04962294
-0.039174,-0.15192732,-0.1188627,-0.04560789
-0.10946311,-0.15965734,-0.13194087,-0.05205509
-0.09873358,-0.15338878,-0.14071439,-0.08552008
-0.07513932,-0.12801594,-0.14984407,-0.07749324
-0.06831736,-0.0961052,-0.12495843,-0.07673746
-0.07593693,-0.15143916,-0.12105976,-0.08784869
-0.09255359,-0.16486281,-0.11586616,-0.09347966
-0.08306754,-0.162737,-0.10365407,-0.09670178
-0.07630713,-0.15601332,-0.1131503,-0.09990449
-0.04891454,-0.16393933,-0.10015851,-0.09466656
-0.04003864,-0.16626732,-0.09462731,-0.08746605
-0.0108846,-0.16988781,-0.08602452,-0.09903368
0.00080449,-0.17751934,-0.09293014,-0.07291673
-0.05793753,-0.17687412,-0.08909425,-0.09008584
-0.10154833,-0.17832102,-0.09185591,-0.10613983
-0.08109301,-0.1880044,-0.0900439,-0.09972888
-0.06217382,-0.19969389,-0.086665,-0.08288894
-0.05410603,-0.20025361,-0.07851006,-0.10141622
-0.12724887,-0.20092714,-0.07355485,-0.0652474
-0.15152781,-0.1902892,-0.08295826,-0.06782984
-0.16142485,-0.1838593,-0.07943369,-0.06679662
-0.17259948,-0.19284025,-0.09223372,-0.08274026
-0.17547666,-0.19964805,-0.09685089,-0.07772847
-0.17106287,-0.18186328,-0.08575626,-0.11076564
-0.18045515,-0.17305481,-0.0898477,-0.10937089
-0.16989473,-0.18479405,-0.09429051,-0.11560749
-0.1783528,-0.19480892,-0.10106445,-0.12532957
-0.17363943,-0.20382087,-0.09588939,-0.13119704
-0.16014428,-0.19671004,-0.09984218,-0.12867399
-0.1703918,-0.20008197,-0.10057953,-0.12830968
-0.18191275,-0.19812423,-0.081075,-0.12483072
-0.18544216,-0.19403218,-0.06770819,-0.10534347
-0.18385611,-0.17838393,-0.10012548,-0.09240895
-0.18696697,-0.17201598,-0.11331165,-0.0998465
-0.19318032,-0.16988531,-0.1213112,-0.07757279
-0.18068671,-0.19651493,-0.10661634,-0.07639369
-0.17716888,-0.1883899,-0.09857219,-0.07423273
-0.18109569,-0.20417422,-0.1079974,-0.09312848
-0.1849927,-0.19599374,-0.10702641,-0.10899548
-0.17060348,-0.197478,-0.09493132,-0.10402726
-0.17632848,-0.19248977,-0.10141446,-0.10941456
-0.18886141,-0.19489852,-0.10569899,-0.09713177
-0.1932992,-0.18848442,-0.11742163,-0.09365801
-0.18421452,-0.18084867,-0.07177009,-0.09689435
-0.18994251,-0.17799157,-0.05720526,-0.09213796
-0.17013972,-0.15805119,-0.04356994,-0.08669119
-0.15295358,-0.1759403,-0.04945316,-0.1041075
-0.16969357,-0.15874985,-0.05259884,-0.10247517
-0.16769892,-0.16550495,-0.05956138,-0.10379504
-0.17248859,-0.1191321,-0.03372426,-0.10773354
-0.1727857,-0.13171063,-0.06312222,-0.11198305
-0.17701229,-0.14850189,-0.07161829,-0.10772769
-0.18092836,-0.15088983,-0.06170193,-0.10151274
-0.18121347,-0.13007934,-0.03534595,-0.10129455
-0.18117367,-0.12346697,-0.04009553,-0.08275849
-0.18566334,-0.14502032,-0.07242409,-0.0744775
-0.18607108,-0.16770016,-0.13851008,-0.08324628
-0.19192229,-0.14826642,-0.1327765,-0.10103086
-0.182601,-0.14497851,-0.12607943,-0.10192166
-0.17843297,-0.16987844,-0.15798692,-0.1181709
-0.17755565,-0.12952626,-0.15527184,-0.12110385
-0.17377859,-0.18669496,-0.16147843,-0.12616061
-0.1685679,-0.18614237,-0.12079425,-0.11713749
-0.17600934,-0.19337687,-0.12476306,-0.11007696
-0.17584206,-0.18344247,-0.083846,-0.10838904
-0.18274842,-0.16538635,-0.10825759,-0.11313742
-0.18604501,-0.1493704,-0.10258003,-0.11307601
-0.18838921,-0.15243062,-0.11693341,-0.10563244
-0.19057304,-0.13464083,-0.10002064,-0.0921243
-0.19324121,-0.14997733,-0.0943143,-0.09306791
-0.19033366,-0.13891681,-0.10493105,-0.09901097
-0.18818843,-0.15459503,-0.08474544,-0.10449202
-0.16636585,-0.16849129,-0.09653645,-0.11556677
-0.14395501,-0.15900698,-0.13674182,-0.11295769
-0.13708043,-0.0882026,-0.17034428,-0.11123814
-0.14102289,-0.08539972,-0.18513899,-0.11321051
-0.17103994,-0.15901364,-0.19291727,-0.11230736
-0.17254786,-0.14880161,-0.1763159,-0.11820354
-0.16841079,-0.13824582,-0.17728436,-0.14434035
-0.18051049,-0.14277261,-0.19020595,-0.13075827
-0.18026575,-0.13724174,-0.18747963,-0.12549299
-0.17790598,-0.08586504,-0.17570768,-0.11834898
-0.17788738,-0.18304153,-0.19069335,-0.10856525
-0.17946722,-0.19510317,-0.17256473,-0.11469777
-0.17294189,-0.18908727,-0.13292545,-0.1328072
-0.18354777,-0.16818167,-0.12123812,-0.13716152
-0.17905886,-0.19807842,-0.14814579,-0.13887411
-0.17884825,-0.17137364,-0.10548373,-0.14770941
-0.18110907,-0.15922424,-0.11031915,-0.15189853
-0.17681827,-0.1645492,-0.10838276,-0.15038837
-0.16952311,-0.1384366,-0.08404444,-0.14102492
-0.16819674,-0.13695604,-0.08186407,-0.1492013
-0.16896248,-0.02250062,-0.06327926,-0.14265092
-0.14116065,-0.00383563,-0.04761436,-0.15051799
-0.11667658,-0.02378904,-0.03187794,-0.14268771
-0.17812324,-0.12346483,-0.04329989,-0.13906795
-0.17928514,-0.10114313,-0.0592473,-0.13553564
-0.16026239,-0.13567154,-0.0249784,-0.12594894
-0.17602104,-0.15051584,-0.03727659,-0.12863842
-0.17573546,-0.18951236,-0.05316614,-0.12475207
-0.20287749,-0.1872801,-0.05894201,-0.13703534
-0.1911338,-0.17685899,-0.05711214,-0.13288876
-0.15247987,-0.15593165,-0.06034401,-0.1262638
-0.14552538,-0.16217422,-0.07005294,-0.13165951
-0.14607672,-0.12318479,-0.06126272,-0.11564866
-0.13669486,-0.10731041,-0.06334356,-0.11132486
-0.1107202,-0.16145855,-0.05035521,-0.11336717
-0.08852053,-0.16205838,-0.06332938,-0.07157788
-0.08523136,-0.16595623,-0.07316446,-0.07713623
-0.09309333,-0.15477811,-0.02079656,-0.10090782
-0.0939174,-0.15593106,0.00640987,-0.12395543
-0.09856087,-0.15138128,-0.04145337,-0.13140547
-0.11071846,-0.099456,-0.08570413,-0.13448466
-0.1232964,-0.13453318,-0.12365173,-0.13920203
-0.07904132,-0.09976515,-0.1671506,-0.13790232
-0.05494007,-0.13562123,-0.14583485,-0.14074877
-0.04624084,-0.15774623,-0.17391467,-0.13634332
-0.07502951,-0.14620176,-0.17342247,-0.13934569
-0.11349182,-0.15239508,-0.15970404,-0.13719684
-0.1062448,-0.14990573,-0.15898488,-0.12707606
-0.09286248,-0.13479298,-0.16659056,-0.12169596
-0.09920757,-0.13473737,-0.16561727,-0.12464464
-0.09764716,-0.13429496,-0.16297147,-0.13054132
-0.11073454,-0.14001116,-0.17973226,-0.12244548
-0.13379036,-0.13399859,-0.1786631,-0.10431361
-0.15639973,-0.11759719,-0.14215054,-0.11792137
-0.15650198,-0.10401257,-0.174595,-0.12489308
-0.14484504,-0.09656776,-0.14364018,-0.12949854
-0.13562267,-0.10241924,-0.13580395,-0.13042888
-0.12820998,-0.0934385,-0.06169755,-0.12262283
-0.1349384,-0.07635017,-0.07654539,-0.11082137
-0.14131826,-0.07293592,-0.02231649,-0.07623115
-0.1480837,-0.08992666,-0.12002779,-0.09769161
-0.16227213,-0.04966713,-0.12430574,-0.13317488
-0.18367398,-0.08056442,-0.08500097,-0.13077162
-0.16175331,-0.11034369,-0.03737008,-0.14017512
-0.16698043,-0.08474085,0.01310055,-0.12643793
-0.16419351,-0.07037497,-0.01577747,-0.10762203
-0.16930677,-0.0932992,-0.05096812,-0.11609205
-0.17103654,-0.11242217,-0.11374158,-0.12551285
-0.14229228,-0.08658086,-0.13623758,-0.11468476
-0.12110297,-0.07682766,-0.15203777,-0.1016746
-0.09480681,-0.10008205,-0.08845775,-0.13875245
-0.06979893,-0.10710423,-0.00597922,-0.14635321
-0.11177157,-0.09697752,0.03535654,-0.14398751
-0.14314361,-0.10395432,0.03112578,-0.14634348
-0.14439453,-0.10498997,0.05602913,-0.1132459
-0.13132402,-0.11187626,-0.04413468,-0.10892709
-0.13924415,-0.09874067,0.03169477,-0.14623949
-0.1305985,-0.09949847,0.03768262,-0.13492662
-0.10442968,-0.10533271,-0.02142677,-0.13544272
-0.02634199,-0.10079268,0.0392143,-0.14120255
0.02255729,-0.09952219,0.03172159,-0.13813327
0.29957366,-0.09073779,0.0309991,-0.14627451
0.15991609,-0.0744102,0.02812625,-0.13767992
0.13047777,-0.08943978,0.00728675,-0.12321223
0.13930017,-0.07585627,0.00720319,-0.12231205
0.1072102,-0.10083873,-0.02212851,-0.13183433
0.09408734,-0.13436402,-0.0517539,-0.14338978
0.09010056,-0.14355105,-0.06186903,-0.14483309
0.08078471,-0.1521301,-0.06994599,-0.1220143
0.06730327,-0.09563161,-0.07187214,-0.1171754
0.05792105,-0.09686366,-0.06075951,-0.08464425
