Cross Lochs,Restored 2006,Restored 2015,Erosion
-0.07334398,-0.0722535,-0.09821746,-0.0662744
-0.07019628,-0.08660854,-0.10145938,-0.070779
-0.08518913,-0.09137573,-0.10989986,-0.06792989
-0.08888107,-0.09146594,-0.10457036,-0.06797881
-0.08858257,-0.09614167,-0.10358609,-0.06613614
-0.07851969,-0.09680141,-0.10232287,-0.06249661
-0.07633399,-0.09267589,-0.10456207,-0.06307174
-0.06861794,-0.09260673,-0.10329802,-0.05326805
-0.08322925,-0.08851425,-0.10369859,-0.05763586
-0.08174469,-0.08882962,-0.10093597,-0.06706552
-0.07483135,-0.08857786,-0.10155436,-0.06904065
-0.07489808,-0.08212457,-0.10083278,-0.07001077
-0.07968108,-0.07982107,-0.09353938,-0.07650068
-0.08804954,-0.08335245,-0.0941835,-0.07808013
-0.09256782,-0.08414593,-0.10386386,-0.07766186
-0.09176875,-0.08409767,-0.10599002,-0.06703605
-0.08483175,-0.08388305,-0.10388219,-0.06253415
-0.07505038,-0.08407453,-0.1043888,-0.06982108
-0.05945617,-0.08507536,-0.10256953,-0.06730998
-0.06095558,-0.08329648,-0.10960208,-0.06427225
-0.08726556,-0.08677408,-0.11311212,-0.07081377
-0.09105301,-0.0903615,-0.10820683,-0.07680003
-0.09677999,-0.08694864,-0.11241709,-0.07512832
-0.08660944,-0.08607286,-0.11437071,-0.07286307
-0.0823498,-0.09159852,-0.10926546,-0.07236143
-0.09534663,-0.08910321,-0.11074225,-0.07251576
-0.09922024,-0.08838113,-0.11114547,-0.07041997
-0.10260417,-0.09303901,-0.10810532,-0.07322218
-0.10002533,-0.09007624,-0.10765269,-0.06393791
-0.10117178,-0.08855175,-0.10573206,-0.07570463
-0.10199732,-0.08772037,-0.11018157,-0.08626901
-0.09792783,-0.08996794,-0.09902441,-0.07526183
-0.10155331,-0.08631657,-0.09665968,-0.06534065
-0.10058822,-0.08755527,-0.10289915,-0.07247635
-0.10056546,-0.08985815,-0.10530174,-0.07696513
-0.09951238,-0.08817884,-0.10107991,-0.07617233
-0.10177371,-0.08514198,-0.09325624,-0.07952853
-0.09607998,-0.08009443,-0.08479451,-0.07705416
-0.09866184,-0.08945522,-0.07951082,-0.07588181
-0.10078105,-0.08451534,-0.08563988,-0.07779864
-0.09922535,-0.08113006,-0.08875633,-0.08327437
-0.09397873,-0.07813095,-0.09160524,-0.08024222
-0.0998461,-0.08415646,-0.10524001,-0.08980297
-0.09818178,-0.08902749,-0.09398079,-0.08844116
-0.10223939,-0.08742755,-0.10159112,-0.08318356
-0.09624541,-0.08406481,-0.10334429,-0.07633653
-0.09834698,-0.08451195,-0.10389799,-0.07994596
-0.09629257,-0.08716583,-0.10678282,-0.0782325
-0.10053407,-0.09088273,-0.10824081,-0.07561305
-0.0950341,-0.0874107,-0.11222929,-0.08002534
-0.09988039,-0.09393848,-0.08893335,-0.07946801
-0.09740816,-0.09166449,-0.08163392,-0.077867
-0.10129488,-0.09070222,-0.07265736,-0.07754601
-0.10413608,-0.09437209,-0.07583798,-0.07837079
-0.09802555,-0.09352732,-0.07215754,-0.07779057
-0.10060409,-0.09198643,-0.08447403,-0.08456876
-0.09819435,-0.09957067,-0.07135409,-0.08529951
-0.09785833,-0.09682129,-0.07260508,-0.08326408
-0.09848755,-0.09556103,-0.07883314,-0.08360635
-0.08634374,-0.08939879,-0.07728376,-0.08707717
-0.08848795,-0.09368689,-0.06836379,-0.08420098
-0.09368639,-0.0972872,-0.07074957,-0.09105152
-0.10014605,-0.09145518,-0.07756785,-0.08627103
-0.09739251,-0.08755942,-0.08832958,-0.09065747
-0.09635535,-0.09264302,-0.08462676,-0.10192597
-0.09172799,-0.09055766,-0.0870533,-0.10006158
-0.09563719,-0.09059899,-0.08308128,-0.09226429
-0.0974571,-0.10190756,-0.08584106,-0.0921316
-0.10048186,-0.09440705,-0.08471016,-0.08538074
-0.09775375,-0.09527951,-0.08322151,-0.08967317
-0.0927554,-0.09547798,-0.08102506,-0.09302751
